,Violent Crime Rate,Property Crime Rate,Police Officers Per Capita,Average Income (Real Median HH income),Bachelors Degree or Higher,Unemployment Rate Oct 2022,State,Police Spending Per Capita,High Crime or low crime state,Unnamed: 9,Unnamed: 10,Reduced Dimension 1,Reduced Dimension 2
0,454,4274,418,56929,27,2.7,Alabama,289,High,,,-14227.212379234134,-36.55217249208351
1,838,4521,604,81133,33,4.5,Alaska,553,High,,,9977.385587854695,237.77393557519244
2,485,4455,507,70821,32,3.9,Arizona,408,High,,,-334.96080325648876,86.20055773958842
3,672,5227,456,50784,25,3.6,Arkansas,245,High,,,-20372.34310323483,-26.679253597371822
4,442,4278,378,81575,36,4.0,California,564,High,,,10419.556135487217,73.34258253445718
5,423,5668,417,84954,44,3.6,Colorado,401,High,,,13798.001667754093,-9.216806426117685
6,182,3130,407,80958,42,4.3,Connecticut,359,Low,,,9801.895030883017,-37.80929829947505
7,432,3923,517,68687,36,4.3,Delaware,395,High,,,-2468.99525405185,88.7245830432679
8,384,3539,440,59734,33,2.7,Florida,469,Low,,,-11421.668274644673,93.33794427813798
9,400,4015,487,61497,35,2.9,Georgia,284,High,,,-9659.291023768132,5.021761369483729
10,254,4823,494,82199,35,3.4,Hawaii,373,High,,,11042.877452804543,35.1095190977794
11,243,2224,379,76918,31,2.9,Idaho,294,Low,,,5761.723283636348,-95.03829477069404
12,426,3119,477,79253,37,4.6,Illinois,443,Low,,,8097.125664845817,72.81623602305157
13,358,3566,379,70190,29,3.0,Indiana,236,Low,,,-966.4256727498807,-122.125056333109
14,303,3396,308,72429,31,2.9,Iowa,287,Low,,,1272.767780213322,-146.06623708267546
15,425,4398,467,75979,35,2.8,Kansas,360,High,,,4822.885422421148,16.227150556673582
16,259,3559,390,55629,27,3.9,Kentucky,181,Low,,,-15527.530527724608,-126.27773998458777
17,639,5769,595,57206,26,3.3,Louisiana,325,High,,,-13950.207457942963,120.41530056216507
18,109,2312,411,71139,36,3.6,Maine,241,Low,,,-17.43155813632835,-96.1513939310748
19,400,3220,619,97332,43,4.5,Maryland,492,Low,,,26176.10182832799,183.09828748125702
20,309,2106,440,86566,47,3.5,Massachusetts,346,Low,,,15409.806244946833,-30.392344967556912
21,478,2722,360,64488,32,4.2,Michigan,290,Low,,,-6668.212006456351,-91.94293910514497
22,277,4250,325,80441,39,2.1,Minnesota,423,High,,,9285.148932585922,-57.144568188179846
23,291,4203,488,46637,25,3.8,Mississippi,266,High,,,-24519.27414804943,17.958145760655004
24,543,5062,460,63594,32,2.6,Missouri,344,High,,,-7562.096886554007,20.452044744787386
25,470,4242,435,64999,35,3.0,Montana,345,High,,,-6157.084836607953,-0.05550433995677642
26,334,3818,412,78109,34,2.4,Nebraska,298,Low,,,6952.710830994846,-69.37508728885032
27,460,3853,410,64340,28,4.6,Nevada,474,High,,,-6815.660457279815,66.46596696829992
28,146,2198,420,88841,40,2.4,New Hampshire,357,Low,,,17684.838537073847,-42.03140158642039
29,195,2316,532,88559,43,3.5,New Jersey,429,Low,,,17403.00128532605,90.2493529695386
30,778,5684,507,53463,30,4.3,New Mexico,361,High,,,-17693.018925558532,83.47705406803198
31,364,2821,630,72920,40,4.4,New York,549,Low,,,1764.403117484139,268.1150344262527
32,419,4453,438,62891,35,3.8,North Carolina,346,High,,,-8265.07238544411,6.274590414853469
33,329,4248,393,68882,32,2.3,North Dakota,330,High,,,-2274.128487894981,-47.91968030368734
34,309,3701,395,62689,31,4.2,Ohio,344,Low,,,-8467.053134663522,-27.245236302268932
35,459,5411,410,60096,28,3.4,Oklahoma,288,High,,,-11060.227007974376,-48.36417241457644
36,292,5318,284,81855,36,4.1,Oregon,375,High,,,10699.013183839486,-121.84404181119702
37,390,3288,463,72627,35,4.0,Pennsylvania,330,Low,,,1470.8105130255628,-1.0064857535258223
38,231,2491,412,74982,37,3.4,Rhode Island,468,Low,,,3826.2667041537848,46.90393667268077
39,531,5442,421,62542,32,3.3,South Carolina,277,High,,,-8614.279860378601,-51.17334848100537
40,501,3913,449,73893,32,2.4,South Dakota,258,High,,,2736.583219117411,-60.75998945005413
41,673,4986,439,62166,31,3.5,Tennessee,331,High,,,-8990.118189355257,-1.6301160326293562
42,446,4490,479,67404,33,4.0,Texas,321,High,,,-3752.2009193283125,13.632251078965005
43,261,4929,299,87649,37,2.1,Utah,283,High,,,16492.682669945152,-180.0441424627082
44,173,2434,322,76079,44,2.3,Vermont,341,Low,,,4922.916008536002,-105.98996810193331
45,209,2913,597,80268,42,2.7,Virginia,313,Low,,,9111.63793545027,76.90481417588
46,294,5465,320,87648,39,3.8,Washington,330,High,,,16491.819520774192,-133.39818198721622
47,356,2799,516,46836,24,4.0,West Virginia,254,Low,,,-24320.330535049212,30.959326962229312
48,323,2971,404,69943,33,3.3,Wisconsin,326,Low,,,-1213.1530302254155,-43.92243951560991
49,234,3221,501,71052,29,3.5,Wyoming,401,Low,,,-103.98169191821344,76.69552450648168
